nome,telefone_whatsapp,email,tipo_negocio,link_origem,fonte
Clínica Odontológica Sorria Patos,(83) 99389-3309,,Odontologia,https://maps.google.com/?cid=11719328511599460462&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Odonto Patos,(83) 99905-2436,,Odontologia,https://maps.google.com/?cid=14204353936659847589&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Clínica Mega Odonto - DENTISTA,(83) 99665-5500,,Odontologia,https://maps.google.com/?cid=13205947167798173251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Centro Odontológico SorriBem,(83) 99920-5700,,Odontologia,https://maps.google.com/?cid=11972196356794304588&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Hiper Dental Clínica Odontológica,(83) 98151-3091,,Odontologia,https://maps.google.com/?cid=13288246805929939251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
CENTER DENT - Patos PB / Dentista / Prótese Dentária / Fisioterapia / Coworking / CENTER DENT - Patos PB,(83) 99832-5550,,Odontologia,https://maps.google.com/?cid=4344743099511004905&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Centro Odontológico Mais Sorrisos,(83) 99611-5984,,Odontologia,https://maps.google.com/?cid=12273048598895420657&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Rede Implante Clínicas Odontológicas,(83) 98902-4104,,Odontologia,https://maps.google.com/?cid=17334088014844850122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
S. Clin - Odontologia e Saúde | Clínica Odontológica em Patos- PB,5583981028293,s.clinpatospb@gmail.com,Odontologia,https://maps.google.com/?cid=16234292192674928294&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Dra. Lilly Medeiros Dentista Especialista em Lentes em resina,(83) 99916-4117,,Odontologia,https://maps.google.com/?cid=1503220420745219300&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Rosendo Contabilidade Patos-PB,(83) 98156-6358,,Contabilidade,https://maps.google.com/?cid=7793875685685870671&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
PINHARAS CONTABILIDADE ESPECIALIZADA,(83) 99646-6525,contato@pinharascontabilidade.com.br,Contabilidade,https://maps.google.com/?cid=2764527871299922741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Raquel Dantas Contabilidade e Associados,(83) 3421-2078,,Contabilidade,https://maps.google.com/?cid=15657960740516204238&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Renata Nunes Contabilidade,(83) 99610-2953,,Contabilidade,https://maps.google.com/?cid=10670896697960550317&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
JANUSA SOTERO CONTABILIDADE PÚBLICA E CONTROLE LTDA,(83) 98102-2023,contato@soterocontabilidade.com.br,Contabilidade,https://maps.google.com/?cid=727833526462669036&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Ecoplan Contabilidade Pública,(83) 3421-4346,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Contabilidade,https://maps.google.com/?cid=4951215832496864275&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Vertice Contabilidade,,,Contabilidade,https://maps.google.com/?cid=6471071232338350048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
PrestContas Assessoria Pública - Patos - PB,558399818237,contato@prestcontas.com.br,Contabilidade,https://maps.google.com/?cid=15775208244290440198&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
Kassio Trigueiro Contabilidade,(83) 98225-3570,,Contabilidade,https://maps.google.com/?cid=5180467414069966630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
ADCON CONTABILIDADE,(83) 99938-8244,,Contabilidade,https://maps.google.com/?cid=17428489823099613629&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Google Maps
